date,theme,reading,question
2026-07-01,Бог — Творець,Буття 1–2,Що ці розділи показують про Бога як Творця?
2026-07-02,Бог шукає людину,Буття 3–4,Як Бог реагує коли людина помиляється?
2026-07-03,Бог відкриває Своє ім'я,Вихід 3–4,Що означає що Бог бачить біль людей?
2026-07-04,Бог рятує,Вихід 13–14,Від чого Бог може рятувати людину сьогодні?
2026-07-05,Бог святий,Вихід 19–20,Чому Божі заповіді — це не просто заборони?
2026-07-06,Бог милосердний,Вихід 33–34,Які риси Бога тут названі прямо?
2026-07-07,Бог знає мене,Псалом 8; 19; 139,Що означає що Бог знає мене повністю?
2026-07-08,Бог — Пастир і Світло,Псалом 23; 27,Де мені сьогодні потрібне Боже ведення?
2026-07-09,Бог добрий і терплячий,Псалом 103; 145,Які слова про Бога хочеться запам'ятати?
2026-07-10,Бог дивиться на серце,1 Самуїла 16–17,Чим Божий погляд відрізняється від людського?
2026-07-11,Бог справжній і близький,1 Царів 18–19,Чому Бог не завжди говорить гучно?
2026-07-12,Бог величний,Ісая 6; 40,Як Божа велич може підтримувати мене?
2026-07-13,Бог кличе по імені,Ісая 43; 55,Що означає належати Богові?
2026-07-14,Бог дає покликання і майбутнє,Єремії 1; 29,Як Бог може використовувати молодих людей?
2026-07-15,Бог дає сміливість,Даниїла 1–3,Де мені потрібно не соромитися віри?
2026-07-16,Бог вірний у тиску,Даниїла 6; Псалом 46,Як залишатися з Богом коли інші тиснуть?
2026-07-17,Бог не відпускає,Йони 1–2,Чому люди іноді тікають від Бога?
2026-07-18,Бог милує навіть чужих,Йони 3–4,Кого мені важко любити так як любить Бог?
2026-07-19,Бог приходить близько,Луки 1–2,Що народження Ісуса показує про Бога?
2026-07-20,Ісус показує серце Бога,Луки 4–5,До яких людей Ісус наближається?
2026-07-21,Бог — Батько Який чекає,Луки 15; Псалом 32,Що Бог робить коли людина повертається?
2026-07-22,Бог відкрився в Ісусі,Івана 1–2,Що означає «Слово стало тілом»?
2026-07-23,Бог дає нове життя,Івана 3–4,Що таке народитися згори простими словами?
2026-07-24,Ісус — Світло і Добрий Пастир,Івана 9–10,Як навчитися чути голос Ісуса?
2026-07-25,Пізнати Отця через Ісуса,Івана 14–15,Що означає бути близько з Ісусом щодня?
2026-07-26,Бог має владу над страхом,Марка 4–5,Над чим Ісус має владу в цих розділах?
2026-07-27,Бог смиренний і жертовний,Марка 10; Филип'ян 2,Чому справжня сила не завжди виглядає гучно?
2026-07-28,Бог любить і прощає,Римлян 5–6,Що Божа благодать змінює в людині?
2026-07-29,Бог дає Духа і новий спосіб життя,Римлян 8; 12,Як виглядає життя з Богом у звичайний день?
2026-07-30,Бог є світло,1 Івана 1–3,Що означає ходити у світлі?
2026-07-31,Бог є любов,1 Івана 4–5,Як я можу показати що справді люблю?
